strategy,seed,world_mode,rounds,successful_rounds,best_tc_k,best_formula,best_pressure_gpa,elapsed_seconds
thompson,50,ambient,35,31,223.0930,Mg0.27 S0.27 H0.46,142.25,0.2950
ucb+manifold,1,ambient,35,33,317.9264,C0.18 Li0.32 H0.50,137.16,0.8768
ucb+manifold,2,ambient,35,27,138.5360,Ca0.50 H0.50,431.14,0.8573
ucb+manifold,3,ambient,35,34,251.4037,C0.05 Li0.47 H0.48,101.16,0.8753
ucb+manifold,4,ambient,35,30,242.9603,Ce0.21 S0.35 H0.44,343.33,0.8513
ucb+manifold,5,ambient,35,28,150.7551,Li0.52 H0.48,206.59,0.8593
ucb+manifold,6,ambient,35,34,238.8811,S0.35 La0.20 H0.45,136.81,0.8795
ucb+manifold,7,ambient,35,32,155.1170,Mg0.25 Li0.25 H0.50,182.26,0.8764
ucb+manifold,8,ambient,35,29,187.9301,Ca0.35 S0.14 H0.51,132.08,0.8825
ucb+manifold,9,ambient,35,29,194.9540,S0.17 Ca0.39 H0.44,241.55,0.8638
ucb+manifold,10,ambient,35,32,53.3567,Y0.18 H0.82,224.12,0.8667
ucb+manifold,11,ambient,35,32,149.6570,Li0.53 H0.47,440.55,0.8822
ucb+manifold,12,ambient,35,28,216.3179,S0.13 Ca0.36 H0.51,154.91,0.8448
ucb+manifold,13,ambient,35,29,109.7422,La0.40 S0.28 H0.32,260.44,0.8481
ucb+manifold,14,ambient,35,30,201.4267,Ce0.45 S0.04 H0.51,204.62,0.8992
ucb+manifold,15,ambient,35,34,305.0325,C0.20 Li0.30 H0.50,130.45,0.9779
ucb+manifold,16,ambient,35,29,241.5471,S0.29 Ce0.24 H0.47,215.34,0.9343
ucb+manifold,17,ambient,35,33,286.8077,C0.09 Li0.41 H0.50,87.08,0.9244
ucb+manifold,18,ambient,35,31,176.9556,Li0.48 S0.11 H0.41,233.41,0.9409
ucb+manifold,19,ambient,35,31,149.2662,Ca0.50 H0.50,160.72,0.9278
ucb+manifold,20,ambient,35,33,272.2322,C0.10 Ca0.40 H0.50,241.99,0.8717
ucb+manifold,21,ambient,35,33,141.8126,Ca0.50 H0.50,374.73,0.9027
ucb+manifold,22,ambient,35,31,233.0320,S0.17 Ca0.35 H0.47,136.77,0.9078
ucb+manifold,23,ambient,35,30,132.8831,Ca0.49 H0.51,90.96,0.8722
ucb+manifold,24,ambient,35,23,181.9112,S0.29 Mg0.24 H0.47,424.84,0.9154
ucb+manifold,25,ambient,35,27,305.0127,Ca0.48 C0.01 H0.51,453.61,0.8915
ucb+manifold,26,ambient,35,33,248.6031,La0.34 S0.17 H0.49,184.42,0.8886
ucb+manifold,27,ambient,35,27,23.6449,La0.47 H0.53,414.28,0.8937
ucb+manifold,28,ambient,35,32,274.2765,La0.42 S0.07 H0.50,242.40,0.9451
ucb+manifold,29,ambient,35,28,155.0305,Ce0.25 Li0.26 H0.49,488.33,0.9245
ucb+manifold,30,ambient,35,27,136.4780,Li0.17 Ce0.32 H0.50,178.86,0.9167
ucb+manifold,31,ambient,35,31,190.6635,Ce0.26 S0.24 H0.50,98.57,0.9590
ucb+manifold,32,ambient,35,31,119.7161,Li0.43 Mg0.12 H0.46,268.13,0.9059
ucb+manifold,33,ambient,35,27,217.9027,Li0.50 S0.04 H0.46,176.58,0.9004
ucb+manifold,34,ambient,35,28,117.0321,Ca0.48 H0.52,410.86,0.8964
ucb+manifold,35,ambient,35,30,233.7008,S0.34 Y0.21 H0.45,296.10,0.9934
ucb+manifold,36,ambient,35,32,216.2722,Ca0.35 S0.19 H0.45,112.45,0.9686
ucb+manifold,37,ambient,35,32,260.7266,S0.10 Ca0.41 H0.49,355.81,0.9282
ucb+manifold,38,ambient,35,34,265.5237,C0.07 Li0.45 H0.48,422.48,0.9276
ucb+manifold,39,ambient,35,29,264.3267,S0.16 Ce0.35 H0.49,353.90,0.8947
ucb+manifold,40,ambient,35,33,141.8570,Ca0.50 H0.50,289.56,0.9023
ucb+manifold,41,ambient,35,26,202.3298,Ca0.34 S0.24 H0.42,167.40,1.0038
ucb+manifold,42,ambient,35,30,246.0915,Li0.42 S0.12 H0.45,334.13,0.9417
ucb+manifold,43,ambient,35,30,238.7560,La0.24 S0.30 H0.46,313.70,0.8858
ucb+manifold,44,ambient,35,30,241.1000,Ca0.31 S0.24 H0.44,199.10,0.9181
ucb+manifold,45,ambient,35,30,89.1546,Ca0.20 S0.40 H0.40,269.04,0.8823
ucb+manifold,46,ambient,35,31,233.6798,Ce0.32 S0.17 H0.51,242.85,0.9407
ucb+manifold,47,ambient,35,30,222.1792,S0.23 Ca0.34 H0.43,337.28,0.8925
ucb+manifold,48,ambient,35,28,189.1514,Y0.44 S0.05 H0.50,51.18,0.8791
ucb+manifold,49,ambient,35,29,245.0356,Ca0.30 S0.24 H0.46,305.89,0.8848
ucb+manifold,50,ambient,35,30,149.2160,Li0.51 H0.49,162.21,0.8756
ucb+falsify,1,ambient,35,33,193.6704,Ce0.16 S0.38 H0.46,224.49,0.3036
ucb+falsify,2,ambient,35,29,152.1105,Y0.17 Li0.35 H0.49,410.56,0.3062
ucb+falsify,3,ambient,35,33,151.3047,B0.16 Li0.33 H0.51,213.27,0.3090
ucb+falsify,4,ambient,35,30,241.2569,S0.34 Ce0.22 H0.43,48.93,0.2994
ucb+falsify,5,ambient,35,33,146.9236,Li0.54 H0.46,319.69,0.3005
ucb+falsify,6,ambient,35,35,205.6696,La0.26 S0.25 H0.49,246.07,0.3068
ucb+falsify,7,ambient,35,29,93.0988,Y0.18 S0.43 H0.40,39.33,0.2984
ucb+falsify,8,ambient,35,32,279.7349,Ca0.41 C0.09 H0.50,151.53,0.2984
ucb+falsify,9,ambient,35,29,234.0984,S0.25 La0.29 H0.47,342.78,0.2992
ucb+falsify,10,ambient,35,29,50.5573,La0.07 Y0.09 H0.84,93.80,0.2986
ucb+falsify,11,ambient,35,28,80.5158,Li0.38 S0.24 H0.38,391.06,0.2994
ucb+falsify,12,ambient,35,29,151.8590,Li0.52 H0.48,108.18,0.2986
ucb+falsify,13,ambient,35,33,203.5171,S0.18 Y0.34 H0.48,254.85,0.2986
ucb+falsify,14,ambient,35,27,155.1828,Y0.18 Li0.32 H0.50,331.27,0.2953
ucb+falsify,15,ambient,35,29,77.3951,Mg0.17 S0.32 H0.51,192.78,0.2975
ucb+falsify,16,ambient,35,31,283.6523,Ce0.41 S0.09 H0.50,304.77,0.2995
